Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,image_path_0,image_path_1,image_path_2
Glenrothes Robur Reserve,8.21,0.49,6,50,SingleMalt-like,ABC,B,Scotland,Malt,data/images/Glenrothes_Robur_Reserve_0.jpg,data/images/Glenrothes_Robur_Reserve_1.jpg,data/images/Glenrothes_Robur_Reserve_2.jpg
Ardbeg 21yo,9.16,0.26,15,300,SingleMalt-like,J,J,Scotland,Malt,data/images/Ardbeg_21yo_0.jpg,data/images/Ardbeg_21yo_1.jpg,data/images/Ardbeg_21yo_2.jpg
Glen Breton 15yo Battle of the Glen,8.49,0.28,7,300,SingleMalt-like,GH,G,Canada,Malt,data/images/Glen_Breton_15yo_Battle_of_the_Glen_0.jpg,data/images/Glen_Breton_15yo_Battle_of_the_Glen_1.jpg,data/images/Glen_Breton_15yo_Battle_of_the_Glen_2.jpg
Wemyss Malts Kiln Embers,8.82,0.18,4,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Wemyss_Malts_Kiln_Embers_0.jpg,data/images/Wemyss_Malts_Kiln_Embers_1.jpg,data/images/Wemyss_Malts_Kiln_Embers_2.jpg
Compass Box Monster 2004,8.84,0.34,3,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Monster_2004_0.jpg,data/images/Compass_Box_Monster_2004_1.jpg,data/images/Compass_Box_Monster_2004_2.jpg
AnCnoc 12yo,8.5,0.37,28,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/AnCnoc_12yo_0.jpg,data/images/AnCnoc_12yo_1.jpg,data/images/AnCnoc_12yo_2.jpg
Kanosuke New Born 2018 8mo,8.93,0.23,4,125,SingleMalt-like,EF,F,Japan,Malt,data/images/Kanosuke_New_Born_2018_8mo_0.jpg,data/images/Kanosuke_New_Born_2018_8mo_1.jpg,data/images/Kanosuke_New_Born_2018_8mo_2.jpg
Teerenpeli Distiller’s Choice RASI,8.49,0.45,3,125,SingleMalt-like,EF,E,Finland,Malt,data/images/Teerenpeli_Distiller’s_Choice_RASI_0.jpg,data/images/Teerenpeli_Distiller’s_Choice_RASI_1.jpg,data/images/Teerenpeli_Distiller’s_Choice_RASI_2.jpg
Compass Box Spice Tree Extravaganza,8.87,0.28,12,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Compass_Box_Spice_Tree_Extravaganza_0.jpg,data/images/Compass_Box_Spice_Tree_Extravaganza_1.jpg,data/images/Compass_Box_Spice_Tree_Extravaganza_2.jpg
Bunnahabhain Cruach Mhona,8.38,0.4,9,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Bunnahabhain_Cruach_Mhona_0.jpg,data/images/Bunnahabhain_Cruach_Mhona_1.jpg,data/images/Bunnahabhain_Cruach_Mhona_2.jpg
Old Pulteney Huddart,8.47,0.25,5,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Old_Pulteney_Huddart_0.jpg,data/images/Old_Pulteney_Huddart_1.jpg,data/images/Old_Pulteney_Huddart_2.jpg
Mackmyra Special 07,8.45,0.57,7,125,SingleMalt-like,GH,H,Sweden,Malt,data/images/Mackmyra_Special_07_0.jpg,data/images/Mackmyra_Special_07_1.jpg,data/images/Mackmyra_Special_07_2.jpg
Glen Grant 10yo (G&M),8.43,0.3,4,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Glen_Grant_10yo_(G&M)_0.jpg,data/images/Glen_Grant_10yo_(G&M)_1.jpg,data/images/Glen_Grant_10yo_(G&M)_2.jpg
Glencadam 10yo,8.43,0.47,15,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Glencadam_10yo_0.jpg,data/images/Glencadam_10yo_1.jpg,data/images/Glencadam_10yo_2.jpg
Laphroaig QA Cask,8.23,0.55,12,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Laphroaig_QA_Cask_0.jpg,data/images/Laphroaig_QA_Cask_1.jpg,data/images/Laphroaig_QA_Cask_2.jpg
Teerenpeli Distiller’s Choice KARHI,8.69,0.16,3,125,SingleMalt-like,ABC,C,Finland,Malt,data/images/Teerenpeli_Distiller’s_Choice_KARHI_0.jpg,data/images/Teerenpeli_Distiller’s_Choice_KARHI_1.jpg,data/images/Teerenpeli_Distiller’s_Choice_KARHI_2.jpg
Compass Box Peat Monster 2010,8.45,0.85,3,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2010_0.jpg,data/images/Compass_Box_Peat_Monster_2010_1.jpg,data/images/Compass_Box_Peat_Monster_2010_2.jpg
Kavalan Solist Ex-Bourbon,8.83,0.24,26,300,SingleMalt-like,EF,E,Taiwan,Malt,data/images/Kavalan_Solist_Ex-Bourbon_0.jpg,data/images/Kavalan_Solist_Ex-Bourbon_1.jpg,data/images/Kavalan_Solist_Ex-Bourbon_2.jpg
Compass Box Phenomenology,8.85,0.44,12,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Compass_Box_Phenomenology_0.jpg,data/images/Compass_Box_Phenomenology_1.jpg,data/images/Compass_Box_Phenomenology_2.jpg
Bushmills 16yo Single Malt,8.46,0.49,20,125,SingleMalt-like,ABC,B,Ireland,Malt,data/images/Bushmills_16yo_Single_Malt_0.jpg,data/images/Bushmills_16yo_Single_Malt_1.jpg,data/images/Bushmills_16yo_Single_Malt_2.jpg
Copperworks American Single Malt,8.49,0.26,6,70,SingleMalt-like,EF,E,USA,Malt,data/images/Copperworks_American_Single_Malt_0.jpg,data/images/Copperworks_American_Single_Malt_1.jpg,data/images/Copperworks_American_Single_Malt_2.jpg
Compass Box Peat Monster 2006,8.71,0.01,3,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2006_0.jpg,data/images/Compass_Box_Peat_Monster_2006_1.jpg,data/images/Compass_Box_Peat_Monster_2006_2.jpg
Compass Box Peat Monster 2012,8.7,0.32,10,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2012_0.jpg,data/images/Compass_Box_Peat_Monster_2012_1.jpg,data/images/Compass_Box_Peat_Monster_2012_2.jpg
Tyrconnell 10yo Port Cask Finish,8.52,0.31,12,125,SingleMalt-like,ABC,B,Ireland,Malt,data/images/Tyrconnell_10yo_Port_Cask_Finish_0.jpg,data/images/Tyrconnell_10yo_Port_Cask_Finish_1.jpg,data/images/Tyrconnell_10yo_Port_Cask_Finish_2.jpg
Matsui Sakura Cask,8.31,0.62,6,125,SingleMalt-like,EF,F,Japan,Malt,data/images/Matsui_Sakura_Cask_0.jpg,data/images/Matsui_Sakura_Cask_1.jpg,data/images/Matsui_Sakura_Cask_2.jpg
Compass Box Peat Monster (all editions),8.73,0.25,27,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_(all_editions)_0.jpg,data/images/Compass_Box_Peat_Monster_(all_editions)_1.jpg,data/images/Compass_Box_Peat_Monster_(all_editions)_2.jpg
Stronachie 10yo,8.4,0.43,4,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Stronachie_10yo_0.jpg,data/images/Stronachie_10yo_1.jpg,data/images/Stronachie_10yo_2.jpg
Compass Box Peat Monster 2015,8.68,0.16,5,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2015_0.jpg,data/images/Compass_Box_Peat_Monster_2015_1.jpg,data/images/Compass_Box_Peat_Monster_2015_2.jpg
Longrow Peated,8.74,0.2,20,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Longrow_Peated_0.jpg,data/images/Longrow_Peated_1.jpg,data/images/Longrow_Peated_2.jpg
"Glenfarclas 1968-2000 54.2% (OB, Old Stock Reserve, Ceramic)",8.54,0.24,3,300,SingleMalt-like,ABC,B,Scotland,Malt,"data/images/Glenfarclas_1968-2000_54.2%_(OB,_Old_Stock_Reserve,_Ceramic)_0.jpg","data/images/Glenfarclas_1968-2000_54.2%_(OB,_Old_Stock_Reserve,_Ceramic)_1.jpg","data/images/Glenfarclas_1968-2000_54.2%_(OB,_Old_Stock_Reserve,_Ceramic)_2.jpg"
Teerenpeli Distiller's Choice KASKI,8.63,0.25,4,125,SingleMalt-like,EF,E,Finland,Malt,data/images/Teerenpeli_Distiller's_Choice_KASKI_0.jpg,data/images/Teerenpeli_Distiller's_Choice_KASKI_1.jpg,data/images/Teerenpeli_Distiller's_Choice_KASKI_2.jpg
